user_id,street,city,state,postal_code,country,telephone
1,22464 Dickens Highway Apt.245,South Billsmouth,OH,27763,Unted States,(530) 217-1460
2,989 Frami Avenue,Johnathonberg,ND,16837,Unted States,(560) 514-0756x42
3,2447 Blick Canyon,North Ebba,WV,71051,Unted States,(803) 415-2496x7
4,975 Macejkovic Center,Port Lisachester,NV,36348,Unted States,(252) 585-9186
5,327 Powlowski Dale Apt.524,Abbottstad,MD,04716,Unted States,(275) 781-9191x9
6,404 Kassulke Hollow Suite 828,Lake Alysha,MT,23005,Unted States,(554) 426-1360x35
7,284 Wilbert Inlet,North Jasminstad,WI,61607,Unted States,(371) 677-7958x18
8,4782 Elton Village Apt.510,East Macey,IL,37288,Unted States,(381) 922-3545x11
9,75558 Homenick Curve,New Catalina,MI,96683,Unted States,(787) 342-5710x6
10,44688 Katharina Causeway Suite 596,Heathcotehaven,NJ,54126,Unted States,(949) 339-4723
11,7757 Collins Orchard Suite 119,West Brayanton,FL,49353,Unted States,(532) 238-2059x5
12,7592 Runte Crest Apt.627,South Marquesmouth,TN,62794,Unted States,(954) 224-6765
13,33413 Keyon Course Apt.437,Eltonland,NJ,92032,Unted States,(657) 349-7446x9
14,347 Riley Highway Apt.368,Jenkinshaven,KY,14886,Unted States,(881) 296-6541
15,235 Rutherford Avenue,Port Hyman,IL,95605,Unted States,(361) 558-3504
16,104 Abernathy Fall,New Sabrinaburgh,FL,76197,Unted States,(789) 581-1102
17,80482 Katlynn Walk,New Glennie,LA,02498,Unted States,(497) 349-4456x25
18,1399 Hollis Knoll Suite 148,Stokesshire,UT,64358,Unted States,(912) 908-7685x2
19,347 Anderson Ford,Mantemouth,TX,71988,Unted States,(872) 214-8485x9
20,11319 Rosina Bridge Apt.433,West Josiannefort,NY,43687,Unted States,(851) 675-4725x8
